title,url,DIS_price,pre_price
Sony Bravia 55X75K 55 Inch 4K HDR Android Google LED TV,https://www.daraz.com.bd/products/sony-bravia-55x75k-55-4k-hdr-led-i289602249-s1292183815.html?search=1,"৳ 83,000","৳ 150,000"
Samsung 65 inch Air Slim BU8100 4K Smart Crystal (New Model 2022),https://www.daraz.com.bd/products/samsung-65-bu8100-4k-2022-i230616469-s1174017587.html?search=1,"৳ 97,021","৳ 134,990"
"Samsung 32"" N4010 HD LED Basic TV - Series 4 official warranty",https://www.daraz.com.bd/products/samsung-32-n4010-hd-led-4-i215815630-s1164276849.html?search=1,"৳ 16,413","৳ 21,900"
Vikan 43 Inch 4k Supported Smart Android HD LED TV Wi-Fi and 2GB RAM 16GB ROM - Smart Tv,https://www.daraz.com.bd/products/vikan-43-inch-4k-supported-smart-android-hd-led-tv-wi-fi-and-2gb-ram-16gb-rom-smart-tv-i256946619-s1206219093.html?search=1,"৳ 20,999","৳ 39,900"
"Samsung Smart HD TV 32"" UA32T4400ARSER=With Wifi (Official Samsung Warranty)",https://www.daraz.com.bd/products/samsung-hd-32-ua32t4400arser-wifi-samsung-i264243753-s1234646891.html?search=1,"৳ 24,764","৳ 32,900"
Minister M-43 ANDROID VOICE MI43M30PVB BLACK,https://www.daraz.com.bd/products/m-43-mi43m30pvb-i316028557-s1429183914.html?search=1,"৳ 29,110","৳ 49,500"
OnePlus Y1G 32 Inch Android TV 11 Updated Global Version,https://www.daraz.com.bd/products/oneplus-y1g-32-11-i286116598-s1284098013.html?search=1,"৳ 19,200","৳ 26,000"
Samsung AU7700 43 Inch Crystal 4K UHD Smart TV - Black,https://www.daraz.com.bd/products/samsung-au7700-43-inch-crystal-4k-uhd-smart-tv-black-i204048014-s1152124808.html?search=1,"৳ 47,474","৳ 59,900"
SAMSUNG AU7500 43 INCH HD 4K ULTRA SMART LED TV,https://www.daraz.com.bd/products/samsung-au7500-43-hd-4k-led-i323914896-s1546616813.html?search=1,"৳ 45,409","৳ 55,900"
Samsung 43″ Crystal 4K UHD Smart TV | 43CU7500,https://www.daraz.com.bd/products/samsung-43-crystal-4k-uhd-smart-tv-43cu7500-i330229779-s1608794335.html?search=1,"৳ 40,632","৳ 70,900"
Samsung 43T5400 43-Inch Full HD Smart Led Television,https://www.daraz.com.bd/products/samsung-43t5400-43-hd-led-i326856366-s1582113346.html?search=1,"৳ 36,316","৳ 50,900"
Samsung 65Q70B 65 Inch QLED 4K UHD Smart LED Television,https://www.daraz.com.bd/products/samsung-65q70b-65-qled-4k-uhd-led-i324739173-s1555105992.html?search=1,"৳ 149,574","৳ 269,900"
Samsung 50AU7700 50 inch Crystal 4K UHD Smart LED Television,https://www.daraz.com.bd/products/samsung-50au7700-50-4k-uhd-led-i326857409-s1582145204.html?search=1,"৳ 58,568","৳ 79,900"
DEIL 32 Inch WIFI-Smart 4K Android LED Television - A Grade Quality (2GB RAM - 16GB ROM),https://www.daraz.com.bd/products/deil-32-inch-wifi-smart-4k-android-led-television-a-grade-quality-2gb-ram-16gb-rom-i104840211-s1597438792.html?search=1,"৳ 12,936","৳ 22,000"
SONY PLUS 43 android version 9.0 Ram 2GB/16GB SMART HD TV,https://www.daraz.com.bd/products/sony-plus-43-90-ram-2gb16gb-hd-i281051610-s1268413655.html?search=1,"৳ 19,989","৳ 33,000"
Sony Plus 32'' 4K Supported Android Smart Television Wi-Fi Hd Led TV 4K Supported RAM 2GB ROM 16GB Android version 11.0 Built-In,https://www.daraz.com.bd/products/sony-plus-32-4k-wi-fi-hd-led-4k-ram-2gb-rom-16gb-110-i131882022-s1052418682.html?search=1,"৳ 12,990","৳ 19,900"
Craft Brand 32 inch 4k LED Smart TV - 2GB RAM/6 GB ROM,https://www.daraz.com.bd/products/craft-brand-32-inch-4k-led-smart-tv-2gb-ram6-gb-rom-i100311720-s1014223462.html?search=1,"৳ 13,116","৳ 18,990"
"Haier 32"" Android 11 HD Smart LED TV (H32K66GH) with Free Bongo Subscription",https://www.daraz.com.bd/products/haier-32-android-11-hd-smart-led-tv-h32k66gh-with-free-bongo-subscription-i201531570-s1237361495.html?search=1,"৳ 19,900","৳ 28,900"
SONY PLUS 43 inch Android Smart Wifi HD LED TV 4K Supported RAM 2 GB ROM 16 GB,https://www.daraz.com.bd/products/sony-plus-43-inch-android-smart-wifi-hd-led-tv-4k-supported-ram-2-gb-rom-16-gb-i230737624-s1564963837.html?search=1,"৳ 20,999","৳ 29,890"
"KuGou 32"" TV FHD Frameless Android Smart TV",https://www.daraz.com.bd/products/kugou-32-tv-fhd-frameless-android-smart-tv-i229095051-s1280742790.html?search=1,"৳ 13,650","৳ 24,900"
Sony Plus 24 Inch 4K Supported ( Ram 1 gb Rom 8 gb ) Android Smart Television Wi-Fi Hd Led Tv 4k Supported,https://www.daraz.com.bd/products/sony-plus-24-4k-ram-1-gb-rom-8-gb-wi-fi-hd-led-4k-i322327308-s1510112362.html?search=1,"৳ 9,990","৳ 16,500"
MME 32 Inch TV 2GB Ram Voice Control/ Non-Voice Smart TV 1080p FHD Android TV,https://www.daraz.com.bd/products/mme-32-inch-tv-2gb-ram-voice-control-non-voice-smart-tv-1080p-fhd-android-tv-i229388253-s1280660442.html?search=1,"৳ 13,587","৳ 25,700"
Sony Plus Elite 24 Inch HD LED TV 4K Supported Basic Television (Resolution 1080P 1366 x 768),https://www.daraz.com.bd/products/sony-plus-elite-24-inch-hd-led-tv-4k-supported-basic-television-resolution-1080p-1366-x-768-i131874051-s1052428304.html?search=1,"৳ 8,723","৳ 11,000"
Candy by Haier 32 Android Smart LED TV (C32K6G),https://www.daraz.com.bd/products/candy-by-haier-32-android-smart-led-tv-c32k6g-i325307556-s1561384982.html?search=1,"৳ 17,500","৳ 26,900"
Haier H32K66GH 32 Inch Bezel Less HD Android Smart LED Television,https://www.daraz.com.bd/products/haier-h32k66gh-32-inch-bezel-less-hd-android-smart-led-television-i306700887-s1372844082.html?search=1,"৳ 20,119","৳ 27,900"
Vikan 32 Inch Double Glass TV Android Smart Wifi TV HD Led Tv 4K Supported RAM 2GB ROM 16GB Android version 11.0 Built-In,https://www.daraz.com.bd/products/vikan-32-wifi-hd-led-4k-ram-2gb-rom-16gb-i100008310-s1013832075.html?search=1,"৳ 13,900","৳ 25,500"
Haier H43K800FX 43 Inch FHD Android Smart TV,https://www.daraz.com.bd/products/haier-h43k800fx-43-inch-fhd-android-smart-tv-i324419634-s1552705667.html?search=1,"৳ 30,957","৳ 42,900"
