title,url,processor Type,Generation,Price
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA,https://www.ryanscomputers.com/asus-x515ea-intel-core-i5-1135g7-15.6-inch-fhd-display-slate-grey-laptop-ej2460w-x515ea, Core i5, 11th (Intel), 
Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,https://www.ryanscomputers.com/acer-aspire-3-a315-59-5031-intel-core-i5-1235u-15.6-inch-fhd-display-pure-silver-laptop, Core i5, 12th (Intel),"Tk 62,800 "
Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop,https://www.ryanscomputers.com/dell-latitude-15-3520-11th-gen-intel-core-i5-1135g7-15.6-inch-hd-display-black-laptop, Core i5, 11th (Intel),"Tk 63,500 "
Huawei MateBook D 15 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/huawei-matebook-d-15-intel-core-i5-1135g7-15.6-inch-fhd-silver-laptop, Core i5, 11th (Intel),"Tk 63,900 "
Huawei MateBook B3-520 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Space Gray Laptop,https://www.ryanscomputers.com/huawei-matebook-b3-520-15.6-inch-space-gray-laptop, Core i5, 11th (Intel),"Tk 68,500 "
"Acer Swift Go 14 SFG14-41-R5RB AMD Ryzen 5 7530U 8GB RAM, 512GB SSD 14 Inch FHD Display Pure Silver Laptop",https://www.ryanscomputers.com/acer-swift-go-14-sfg14-41-r5rb-amd-ryzen-5-7530u-8gb-ram-512gb-ssd-14-inch-fhd-display-pure-silver-laptop, Ryzen 5, Not Applicable,"Tk 68,500 "
Acer TravelMate P214-53-72WA Intel Core i7 1165G7 8GB RAM 512GB SSD 14 Inch FHD Display Shale Black Laptop,https://www.ryanscomputers.com/acer-travelmate-p214-53-72wa-14-inch-shale-black-laptop, Core i7, 11th (Intel),"Tk 71,500 "
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3-15abr8-amd-ryzen-7-7730u-15.6-inch-fhd-antiglare-ips-display-arctic-grey-laptop, Ryzen 7, Not Applicable,"Tk 73,500 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop #82H803EUIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-intel-core-i7-1165g7-15.6-inch-fhd-antiglare-display-arctic-grey-laptop-82h803euin, Core i7, 11th (Intel),"Tk 76,000 "
Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop,https://www.ryanscomputers.com/dell-inspiron-15-3525-amd-ryzen-7-5825u-15.6-inch-fhd-display-platinum-silver-laptop, Ryzen 7, Not Applicable,"Tk 76,000 "
